B_phi		 Mfinal		 file
6.347e+12	6.613e+00	6zem4/15.0
1.937e+13	1.847e+01	6zem4/20.0
2.369e+14	1.943e+01	6zem4/25.0
1.821e+14	2.229e+01	6zem4/30.0
1.845e+14	2.602e+01	6zem4/35.0
1.727e+14	2.980e+01	6zem4/40.0
1.248e+14	3.346e+01	6zem4/45.0
1.271e+14	3.641e+01	6zem4/50.0
1.286e+14	3.932e+01	6zem4/55.0
1.337e+14	4.454e+01	6zem4/60.0
1.390e+14	4.735e+01	6zem4/65.0
1.190e+14	5.093e+01	6zem4/70.0
9.191e+13	5.492e+01	6zem4/75.0
8.290e+13	5.768e+01	6zem4/80.0
1.322e+14	6.350e+01	6zem4/85.0
2.319e+12	1.385e+02	6zem4/160.0
2.210e-91	1.529e+02	6zem4/165.0
1.302e-91	1.492e+02	6zem4/170.0
1.424e-91	1.574e+02	6zem4/175.0
2.147e-91	1.679e+02	6zem4/180.0
1.625e-91	1.650e+02	6zem4/185.0
2.217e-91	1.748e+02	6zem4/190.0
2.286e-91	1.798e+02	6zem4/195.0
2.321e-91	1.732e+02	6zem4/200.0
2.239e-91	1.845e+02	6zem4/205.0
1.753e-91	1.880e+02	6zem4/210.0
2.354e-91	1.917e+02	6zem4/215.0
2.450e-90	2.035e+02	6zem4/220.0
2.288e-91	1.936e+02	6zem4/225.0
2.223e-91	2.095e+02	6zem4/230.0
2.396e-91	2.132e+02	6zem4/235.0
2.429e-91	2.133e+02	6zem4/240.0
2.487e+12	2.243e+02	6zem4/245.0
2.349e-91	2.220e+02	6zem4/250.0
2.353e-91	2.297e+02	6zem4/255.0
2.443e-91	2.343e+02	6zem4/260.0
2.669e-90	2.457e+02	6zem4/265.0
2.936e-90	2.496e+02	6zem4/270.0
2.620e-90	2.544e+02	6zem4/275.0
5.863e-91	2.569e+02	6zem4/280.0
2.709e-90	2.639e+02	6zem4/285.0
1.114e-37	2.742e+02	6zem4/290.0
1.905e-90	2.377e+02	6zem4/295.0
1.000e+13	1.204e+01	z001/15.0
2.126e+13	1.675e+01	z001/20.0
2.173e+14	1.888e+01	z001/25.0
2.037e+14	2.166e+01	z001/30.0
1.487e+14	2.516e+01	z001/35.0
2.038e+14	2.857e+01	z001/40.0
1.209e+14	3.107e+01	z001/45.0
1.543e+14	3.560e+01	z001/50.0
1.531e+14	3.961e+01	z001/55.0
1.386e+11	4.092e+01	z001/60.0
8.925e+13	4.474e+01	z001/65.0
6.888e+13	4.867e+01	z001/70.0
9.769e+12	5.019e+01	z001/75.0
1.129e+14	5.657e+01	z001/80.0
5.653e+13	5.662e+01	z001/85.0
6.779e+13	6.210e+01	z001/90.0
4.540e+13	6.318e+01	z001/95.0
6.186e+13	1.063e+02	z001/135.0
1.703e+13	1.397e+02	z001/170.0
2.409e+13	1.434e+02	z001/175.0
7.131e+13	1.460e+02	z001/180.0
4.085e+13	1.513e+02	z001/185.0
2.745e+13	1.550e+02	z001/190.0
2.711e+13	1.521e+02	z001/195.0
2.463e+13	1.574e+02	z001/200.0
1.806e+13	1.523e+02	z001/205.0
1.091e+13	1.507e+02	z001/210.0
1.560e+13	1.504e+02	z001/215.0
1.390e+13	1.588e+02	z001/220.0
1.536e+13	1.621e+02	z001/225.0
1.276e+13	1.732e+02	z001/230.0
1.032e+13	1.624e+02	z001/235.0
5.869e+12	1.556e+02	z001/240.0
5.007e+12	1.701e+02	z001/245.0
7.976e+12	1.771e+02	z001/250.0
7.013e+12	1.759e+02	z001/255.0
1.164e+13	2.003e+02	z001/260.0
7.831e+12	2.004e+02	z001/265.0
1.017e+13	2.058e+02	z001/270.0
1.345e+13	2.148e+02	z001/275.0
1.143e+13	2.151e+02	z001/280.0
7.928e+12	2.166e+02	z001/285.0
3.601e+13	1.239e+01	z002/15.0
6.848e+13	1.613e+01	z002/20.0
1.151e+14	1.984e+01	z002/25.0
1.293e+14	2.327e+01	z002/30.0
1.906e+14	2.569e+01	z002/35.0
1.379e+14	2.780e+01	z002/40.0
7.619e+13	3.085e+01	z002/45.0
1.096e+14	3.353e+01	z002/50.0
8.589e+13	3.635e+01	z002/55.0
9.648e+13	4.074e+01	z002/60.0
8.520e+13	4.441e+01	z002/65.0
1.820e+11	4.803e+01	z002/70.0
1.551e+11	5.059e+01	z002/75.0
5.602e+13	5.325e+01	z002/80.0
5.740e+13	5.806e+01	z002/85.0
5.602e+13	6.091e+01	z002/90.0
2.964e-90	1.406e+02	z002/160.0
2.900e-90	1.439e+02	z002/165.0
2.791e-90	1.498e+02	z002/170.0
8.653e+12	1.190e+01	z003/15.0
1.597e+13	1.538e+01	z003/20.0
2.687e+13	1.872e+01	z003/25.0
3.798e+13	2.205e+01	z003/30.0
6.520e+13	2.522e+01	z003/35.0
6.020e+13	2.845e+01	z003/40.0
5.115e+13	3.165e+01	z003/45.0
6.012e+13	3.466e+01	z003/50.0
4.876e+13	3.770e+01	z003/55.0
8.339e+13	3.885e+01	z003/60.0
5.168e+13	4.211e+01	z003/65.0
7.290e+13	4.549e+01	z003/70.0
6.181e+13	4.837e+01	z003/75.0
6.074e+13	5.091e+01	z003/80.0
3.986e+13	5.370e+01	z003/85.0
4.135e+13	5.725e+01	z003/90.0
2.609e+13	5.837e+01	z003/95.0
2.260e+13	6.072e+01	z003/100.0
1.562e+12	1.172e+01	z004/15.0
1.167e-91	1.655e+01	z004/20.0
1.235e-91	2.025e+01	z004/25.0
1.288e-91	2.388e+01	z004/30.0
1.332e-91	2.754e+01	z004/35.0
1.396e-91	3.096e+01	z004/40.0
1.424e-91	3.396e+01	z004/45.0
2.678e+13	3.193e+01	z004/50.0
1.468e+13	3.449e+01	z004/55.0
1.748e+13	3.646e+01	z004/60.0
2.442e+13	3.719e+01	z004/65.0
2.734e+13	3.939e+01	z004/70.0
2.308e+13	4.171e+01	z004/75.0
1.360e+13	4.581e+01	z004/80.0
1.189e+12	4.415e+01	z004/85.0
1.659e+13	4.566e+01	z004/90.0
1.595e+13	4.778e+01	z004/95.0
1.395e+13	4.927e+01	z004/100.0
1.313e+13	5.132e+01	z004/105.0
1.134e+13	5.207e+01	z004/110.0
7.901e+12	5.464e+01	z004/115.0
5.463e+12	5.682e+01	z004/120.0
1.081e+13	5.746e+01	z004/125.0
8.138e+12	5.861e+01	z004/130.0
8.345e+12	5.992e+01	z004/135.0
1.024e+13	6.248e+01	z004/140.0
1.039e+13	6.311e+01	z004/145.0
1.244e+12	1.018e+01	z005/15.0
2.715e+12	1.473e+01	z005/20.0
1.409e-91	2.023e+01	z005/25.0
1.511e-91	2.384e+01	z005/30.0
7.425e-66	2.703e+01	z005/35.0
1.637e-91	3.061e+01	z005/40.0
1.412e-91	3.321e+01	z005/45.0
1.483e-91	3.637e+01	z005/50.0
1.460e-91	4.010e+01	z005/55.0
1.544e-91	4.336e+01	z005/60.0
1.630e-91	4.646e+01	z005/65.0
5.660e+12	3.636e+01	z005/70.0
1.290e+13	3.945e+01	z005/75.0
7.533e+12	4.076e+01	z005/80.0
1.317e+13	4.196e+01	z005/85.0
1.278e+13	4.011e+01	z005/90.0
1.266e+13	4.367e+01	z005/95.0
1.203e+13	4.274e+01	z005/100.0
5.560e+12	4.411e+01	z005/105.0
6.037e+12	4.588e+01	z005/110.0
8.673e+12	4.845e+01	z005/115.0
9.971e+12	5.004e+01	z005/120.0
8.203e+12	5.086e+01	z005/125.0
